text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"On 18 March 2025 at 16:15, an incident occurred at Fleet Garage. The incident was reported by Emerson Walker. Sydney Parker from the Health & Safety department was involved. Negative: untidy cables was observed but not corrected."
"Taylor Allen from the Finance department was involved. On 08 April 2024 at 10:33, an incident occurred at Fleet Garage. All grinder was used correctly during welding. The incident was reported by Jesse Foster."
"The incident was reported by Drew Davis. Finley Mitchell from the Training & Development department was involved. On 20 April 2025 at 10:11, an incident occurred at Dry Dock 1. Negative: untidy cables was observed but not corrected."
"Negative: untidy cables was observed but not corrected. The incident was reported by Jordan Reed. Peyton Davis from the Environmental Services department was involved. On 24 April 2024 at 04:48, an incident occurred at IT Server Room."
"On 29 January 2025 at 07:10, an incident occurred at Fuel Depot. The incident was reported by Frankie Foster. Charlie Parker from the Dockyard Operations department was involved. All crane was used correctly during painting."
"The incident was reported by Charlie Lewis. On 24 May 2024 at 22:10, an incident occurred at Dry Dock 2. All forklift was used correctly during painting. Frankie Fisher from the Legal department was involved."
"Negative: blocked emergency exit was observed but not corrected. On 03 February 2025 at 05:34, an incident occurred at Electrical Bay. Emerson Davis from the Fleet Management department was involved. The incident was reported by Jamie Reed."
"Alex Johnson from the Health & Safety department was involved. The incident was reported by Elliot Allen. On 04 February 2025 at 23:37, an incident occurred at Reception Area. All grinder was used correctly during welding."
"Negative: missing guardrails was observed but not corrected. Blake Brown from the Facilities department was involved. The incident was reported by Dakota Lee. On 05 July 2024 at 12:58, an incident occurred at Electrical Bay."
"Charlie Lee from the Procurement department was involved. Paint crew followed PPE guidelines without violations. On 04 May 2025 at 15:18, an incident occurred at Cafeteria. The incident was reported by Casey Johnson."
"The incident was reported by Blake Cooper. Negative: blocked emergency exit was observed but not corrected. On 24 December 2024 at 18:34, an incident occurred at Fuel Depot. Jesse Lewis from the Facilities department was involved."
"The incident was reported by Alex Ward. All forklift was used correctly during welding. Jordan Bailey from the Finance department was involved. On 11 May 2024 at 19:50, an incident occurred at Engineering Workshop."
"All grinder was used correctly during painting. Casey Clark from the Operations department was involved. The incident was reported by Sydney Cooper. On 30 December 2024 at 09:34, an incident occurred at Tool Crib."
"Welding team followed PPE guidelines without violations. The incident was reported by Finley Morgan. Rowan Holmes from the Communications department was involved. On 04 June 2025 at 20:04, an incident occurred at Dry Dock 1."
"Welding team followed PPE guidelines without violations. The incident was reported by Taylor Mitchell. On 02 July 2025 at 17:20, an incident occurred at Dry Dock 1. Riley Ward from the Quality Assurance department was involved."
"The incident was reported by Dakota Bailey. Logan West from the Customer Service department was involved. Welding team followed lockout/tagout without violations. On 30 October 2024 at 04:59, an incident occurred at Warehouse A."
"Elliot Mitchell from the Warehouse department was involved. On 15 January 2024 at 16:49, an incident occurred at Dockyard North. The incident was reported by Skyler Walker. Negative: blocked emergency exit was observed but not corrected."
"On 01 May 2025 at 14:35, an incident occurred at Cafeteria. All crane was used correctly during painting. The incident was reported by Spencer Murray. Alex West from the Fleet Management department was involved."
"Elliot Johnson from the Ship Maintenance department was involved. On 10 May 2024 at 23:48, an incident occurred at Training Room. The incident was reported by Rowan Graham. All grinder was used correctly during welding."
"Avery Smith from the Warehouse department was involved. The incident was reported by Sydney Holmes. Scaffolders followed PPE guidelines without violations. On 13 December 2024 at 15:11, an incident occurred at Warehouse B."
"All forklift was used correctly during welding. On 30 March 2025 at 11:16, an incident occurred at Maintenance Shed. Quinn Kennedy from the Quality Assurance department was involved. The incident was reported by Harper Murray."
"On 24 September 2024 at 12:15, an incident occurred at Training Room. Casey Murray from the Fleet Management department was involved. The incident was reported by Kai Davis. Paint crew followed lockout/tagout without violations."
"The incident was reported by Sawyer Pearson. Negative: missing guardrails was observed but not corrected. On 01 September 2024 at 20:58, an incident occurred at Dry Dock 2. Jamie Murphy from the Research & Development department was involved."
"All forklift was used correctly during repairing the hull. On 11 July 2025 at 18:49, an incident occurred at Electrical Bay. Peyton Walker from the Environmental Services department was involved. The incident was reported by Frankie Clark."
"On 06 March 2024 at 06:45, an incident occurred at Electrical Bay. Rowan Hughes from the Procurement department was involved. All grinder was used correctly during welding. The incident was reported by Harper Robinson."
"The incident was reported by Elliot Murphy. Chris Hughes from the Finance department was involved. On 26 February 2024 at 21:01, an incident occurred at Office - Admin Block. All crane was used correctly during welding."
"The incident was reported by Quinn West. Paint crew followed PPE guidelines without violations. On 27 November 2024 at 00:32, an incident occurred at Tool Crib. Chris Morgan from the HR department was involved."
"Sydney Sullivan from the Fleet Management department was involved. On 13 September 2025 at 15:21, an incident occurred at Dockyard North. Paint crew followed lockout/tagout without violations. The incident was reported by Kai Davis."
"Chris Parker from the Research & Development department was involved. Negative: blocked emergency exit was observed but not corrected. The incident was reported by Casey Bennett. On 24 June 2025 at 14:32, an incident occurred at Maintenance Shed."
